team,player,colorway,size,quantity
Cleveland Cavaliers,Dwayne Wade,Red Nike,M,2
Cleveland Cavaliers,Dwayne Wade,Red Nike,S,1
Cleveland Cavaliers,Dwayne Wade,Red Nike,XL,0
Cleveland Cavaliers,Dwayne Wade,Red Nike,XXL,0
Cleveland Cavaliers,Dwayne Wade,White Nike,L,0
Cleveland Cavaliers,Dwayne Wade,White Nike,M,2
Cleveland Cavaliers,Dwayne Wade,White Nike,S,1
Cleveland Cavaliers,Dwayne Wade,White Nike,XL,0
Cleveland Cavaliers,Dwayne Wade,White Nike,XXL,0
Cleveland Cavaliers,Dwayne Wade,Black Nike,L,0
Cleveland Cavaliers,Dwayne Wade,Black Nike,M,1
Cleveland Cavaliers,Dwayne Wade,Black Nike,S,1
Cleveland Cavaliers,Dwayne Wade,Black Nike,XL,0
Cleveland Cavaliers,Dwayne Wade,Black Nike,XXL,0
Cleveland Cavaliers,Kevin Love,Red,L,0
Cleveland Cavaliers,Kevin Love,Red,M,1
Cleveland Cavaliers,Kevin Love,Red,S,1
Cleveland Cavaliers,Kevin Love,Red,XL,0
Cleveland Cavaliers,Kevin Love,Red,XXL,0
Cleveland Cavaliers,Isaiah Thomas,Red Nike,L,1
Cleveland Cavaliers,Isaiah Thomas,Red Nike,M,1
Cleveland Cavaliers,Isaiah Thomas,Red Nike,S,1
Cleveland Cavaliers,Isaiah Thomas,Red Nike,XL,0
Cleveland Cavaliers,Isaiah Thomas,Red Nike,XXL,0
Cleveland Cavaliers,Isaiah Thomas,Black Nike,L,1
Cleveland Cavaliers,Isaiah Thomas,Black Nike,M,1
Cleveland Cavaliers,Isaiah Thomas,Black Nike,S,1
Cleveland Cavaliers,Isaiah Thomas,Black Nike,XL,0
Cleveland Cavaliers,Isaiah Thomas,Black Nike,XXL,0
Chicago Bulls,Michael Jordan,White,L,0
Chicago Bulls,Michael Jordan,White,M,0
Chicago Bulls,Michael Jordan,White,S,1
Chicago Bulls,Michael Jordan,White,XL,0
Chicago Bulls,Michael Jordan,White,XXL,0
Chicago Bulls,Michael Jordan,Green,L,0
Chicago Bulls,Michael Jordan,Green,M,2
Chicago Bulls,Michael Jordan,Green,S,0
Chicago Bulls,Michael Jordan,Green,XL,0
Chicago Bulls,Michael Jordan,Green,XXL,0
Chicago Bulls,Michael Jordan,Black/Red,L,0
Chicago Bulls,Michael Jordan,Black/Red,M,0
Chicago Bulls,Michael Jordan,Black/Red,S,0
Chicago Bulls,Michael Jordan,Black/Red,XL,0
Chicago Bulls,Michael Jordan,Black/Red,XXL,3
Chicago Bulls,Michael Jordan,Black Chi,L,0
Chicago Bulls,Michael Jordan,Black Chi,M,2
Chicago Bulls,Michael Jordan,Black Chi,S,0
Chicago Bulls,Michael Jordan,Black Chi,XL,0
Chicago Bulls,Michael Jordan,Black Chi,XXL,0
Chicago Bulls,Dwayne Wade,Red,L,0
Chicago Bulls,Dwayne Wade,Red,M,1
Chicago Bulls,Dwayne Wade,Red,S,0
Chicago Bulls,Dwayne Wade,Red,XL,0
Chicago Bulls,Dwayne Wade,Red,XXL,0
Chicago Bulls,Dwayne Wade,Red Alt,L,0
Chicago Bulls,Dwayne Wade,Red Alt,M,1
Chicago Bulls,Dwayne Wade,Red Alt,S,0
Chicago Bulls,Dwayne Wade,Red Alt,XL,0
Chicago Bulls,Dwayne Wade,Red Alt,XXL,0
Houston Rockets,James Harden,Red Nike,L,0
Houston Rockets,James Harden,Red Nike,M,1
Houston Rockets,James Harden,Red Nike,S,1
Houston Rockets,James Harden,Red Nike,XL,0
Houston Rockets,James Harden,Red Nike,XXL,0
Houston Rockets,James Harden,White Nike,L,0
Houston Rockets,James Harden,White Nike,M,1
Houston Rockets,James Harden,White Nike,S,1
Houston Rockets,James Harden,White Nike,XL,0
Houston Rockets,James Harden,White Nike,XXL,0
Houston Rockets,Chris Paul,Black,L,0
Houston Rockets,Chris Paul,Black,M,0
Houston Rockets,Chris Paul,Black,S,1
Houston Rockets,Chris Paul,Black,XL,0
Houston Rockets,Chris Paul,Black,XXL,0
Houston Rockets,Chris Paul,Red Nike,L,0
Houston Rockets,Chris Paul,Red Nike,M,1
Houston Rockets,Chris Paul,Red Nike,S,1
Houston Rockets,Chris Paul,Red Nike,XL,0
Houston Rockets,Chris Paul,Red Nike,XXL,0
Houston Rockets,Chris Paul,White Nike,L,0
Houston Rockets,Chris Paul,White Nike,M,1
Houston Rockets,Chris Paul,White Nike,S,1
Houston Rockets,Chris Paul,White Nike,XL,0
Houston Rockets,Chris Paul,White Nike,XXL,0
LA Clippers,Blake Griffin,Black,L,0
LA Clippers,Blake Griffin,Black,M,1
LA Clippers,Blake Griffin,Black,S,1
LA Clippers,Blake Griffin,Black,XL,0
LA Clippers,Blake Griffin,Black,XXL,0
LA Clippers,Blake Griffin,White,L,0
LA Clippers,Blake Griffin,White,M,1
LA Clippers,Blake Griffin,White,S,0
LA Clippers,Blake Griffin,White,XL,0
LA Clippers,Blake Griffin,White,XXL,0
LA Clippers,DeAndre Jordan,Black,L,0
LA Clippers,DeAndre Jordan,Black,M,1
LA Clippers,DeAndre Jordan,Black,S,0
LA Clippers,DeAndre Jordan,Black,XL,0
LA Clippers,DeAndre Jordan,Black,XXL,0
LA Clippers,DeAndre Jordan,White,L,0
LA Clippers,DeAndre Jordan,White,M,1
LA Clippers,DeAndre Jordan,White,S,0
LA Clippers,DeAndre Jordan,White,XL,0
LA Clippers,DeAndre Jordan,White,XXL,0
LA Clippers,Chris Paul,Black,L,0
LA Clippers,Chris Paul,Black,M,1
LA Clippers,Chris Paul,Black,S,0
LA Clippers,Chris Paul,Black,XL,0
LA Clippers,Chris Paul,Black,XXL,0
LA Clippers,Chris Paul,White,L,0
LA Clippers,Chris Paul,White,M,0
LA Clippers,Chris Paul,White,S,1
LA Clippers,Chris Paul,White,XL,0
LA Clippers,Chris Paul,White,XXL,0
Los Angeles Lakers,Kobe Bryant,Black,L,1
Los Angeles Lakers,Kobe Bryant,Black,M,0
Los Angeles Lakers,Kobe Bryant,Black,S,0
Los Angeles Lakers,Kobe Bryant,Black,XL,0
Los Angeles Lakers,Kobe Bryant,Black,XXL,0
Los Angeles Lakers,Kobe Bryant,Purple,L,0
Los Angeles Lakers,Kobe Bryant,Purple,M,1
Los Angeles Lakers,Kobe Bryant,Purple,S,0
Los Angeles Lakers,Kobe Bryant,Purple,XL,0
Los Angeles Lakers,Kobe Bryant,Purple,XXL,0
Los Angeles Lakers,Kobe Bryant,Yellow,L,0
Los Angeles Lakers,Kobe Bryant,Yellow,M,1
Los Angeles Lakers,Kobe Bryant,Yellow,S,1
Los Angeles Lakers,Kobe Bryant,Yellow,XL,0
Los Angeles Lakers,Kobe Bryant,Yellow,XXL,0
Los Angeles Lakers,Kobe Bryant,Retro,L,0
Los Angeles Lakers,Kobe Bryant,Retro,M,0
Los Angeles Lakers,Kobe Bryant,Retro,S,1
Los Angeles Lakers,Kobe Bryant,Retro,XL,0
Los Angeles Lakers,Kobe Bryant,Retro,XXL,0
Los Angeles Lakers,D'Angelo Russell,Purple,L,0
Los Angeles Lakers,D'Angelo Russell,Purple,M,0
Los Angeles Lakers,D'Angelo Russell,Purple,S,1
Los Angeles Lakers,D'Angelo Russell,Purple,XL,0
Los Angeles Lakers,D'Angelo Russell,Purple,XXL,0
Los Angeles Lakers,D'Angelo Russell,Yellow,L,0
Los Angeles Lakers,D'Angelo Russell,Yellow,M,1
Los Angeles Lakers,D'Angelo Russell,Yellow,S,0
Los Angeles Lakers,D'Angelo Russell,Yellow,XL,0
Los Angeles Lakers,D'Angelo Russell,Yellow,XXL,0
Los Angeles Lakers,Shaquille O'Neal,Retro,L,0
Los Angeles Lakers,Shaquille O'Neal,Retro,M,1
Los Angeles Lakers,Shaquille O'Neal,Retro,S,1
Los Angeles Lakers,Shaquille O'Neal,Retro,XL,0
Los Angeles Lakers,Shaquille O'Neal,Retro,XXL,0
Los Angeles Lakers,Lonzo Ball,Purple,L,0
Los Angeles Lakers,Lonzo Ball,Purple,M,1
Los Angeles Lakers,Lonzo Ball,Purple,S,0
Los Angeles Lakers,Lonzo Ball,Purple,XL,0
Los Angeles Lakers,Lonzo Ball,Purple,XXL,0
Los Angeles Lakers,Lonzo Ball,Yelow,L,0
Los Angeles Lakers,Lonzo Ball,Yelow,M,0
Los Angeles Lakers,Lonzo Ball,Yelow,S,1
Los Angeles Lakers,Lonzo Ball,Yelow,XL,0
Los Angeles Lakers,Lonzo Ball,Yelow,XXL,0
Los Angeles Lakers,Lonzo Ball,White Nike,L,0
Los Angeles Lakers,Lonzo Ball,White Nike,M,1
Los Angeles Lakers,Lonzo Ball,White Nike,S,1
Los Angeles Lakers,Lonzo Ball,White Nike,XL,0
Los Angeles Lakers,Lonzo Ball,White Nike,XXL,0
Los Angeles Lakers,Kyle Kuzma,White Nike,L,0
Los Angeles Lakers,Kyle Kuzma,White Nike,M,1
Los Angeles Lakers,Kyle Kuzma,White Nike,S,1
Los Angeles Lakers,Kyle Kuzma,White Nike,XL,0
Los Angeles Lakers,Kyle Kuzma,White Nike,XXL,0
Los Angeles Lakers,Kyle Kuzma,Yellow Nike,L,0
Los Angeles Lakers,Kyle Kuzma,Yellow Nike,M,2
Los Angeles Lakers,Kyle Kuzma,Yellow Nike,S,1
Los Angeles Lakers,Kyle Kuzma,Yellow Nike,XL,0
Los Angeles Lakers,Kyle Kuzma,Yellow Nike,XXL,0
Minnesota Timberwolves,Jimmy Butler,Blue Nike,L,0
Minnesota Timberwolves,Jimmy Butler,Blue Nike,M,2
Minnesota Timberwolves,Jimmy Butler,Blue Nike,S,0
Minnesota Timberwolves,Jimmy Butler,Blue Nike,XL,0
Minnesota Timberwolves,Jimmy Butler,Blue Nike,XXL,0
Minnesota Timberwolves,Jimmy Butler,White Nike,L,0
Minnesota Timberwolves,Jimmy Butler,White Nike,M,1
Minnesota Timberwolves,Jimmy Butler,White Nike,S,2
Minnesota Timberwolves,Jimmy Butler,White Nike,XL,0
Minnesota Timberwolves,Jimmy Butler,White Nike,XXL,0
Minnesota Timberwolves,Karl Anthony Towns,Blue,L,0
Minnesota Timberwolves,Karl Anthony Towns,Blue,M,1
Minnesota Timberwolves,Karl Anthony Towns,Blue,S,1
Minnesota Timberwolves,Karl Anthony Towns,Blue,XL,0
Minnesota Timberwolves,Karl Anthony Towns,Blue,XXL,0
Minnesota Timberwolves,Karl Anthony Towns,Blue Nike,L,0
Minnesota Timberwolves,Karl Anthony Towns,Blue Nike,M,1
Minnesota Timberwolves,Karl Anthony Towns,Blue Nike,S,1
Minnesota Timberwolves,Karl Anthony Towns,Blue Nike,XL,0
Minnesota Timberwolves,Karl Anthony Towns,Blue Nike,XXL,0
Minnesota Timberwolves,Karl Anthony Towns,White Nike,L,1
Minnesota Timberwolves,Karl Anthony Towns,White Nike,M,1
Minnesota Timberwolves,Karl Anthony Towns,White Nike,S,1
Minnesota Timberwolves,Karl Anthony Towns,White Nike,XL,0
Minnesota Timberwolves,Karl Anthony Towns,White Nike,XXL,0
Minnesota Timberwolves,Andrew Wiggins,Blue Nike,L,1
Minnesota Timberwolves,Andrew Wiggins,Blue Nike,M,1
Minnesota Timberwolves,Andrew Wiggins,Blue Nike,S,1
Minnesota Timberwolves,Andrew Wiggins,Blue Nike,XL,0
Minnesota Timberwolves,Andrew Wiggins,Blue Nike,XXL,0
Minnesota Timberwolves,Andrew Wiggins,White Nike,L,0
Minnesota Timberwolves,Andrew Wiggins,White Nike,M,1
Minnesota Timberwolves,Andrew Wiggins,White Nike,S,2
Minnesota Timberwolves,Andrew Wiggins,White Nike,XL,0
Minnesota Timberwolves,Andrew Wiggins,White Nike,XXL,0
New York Knicks,Carmelo Anthony,Blue,L,0
New York Knicks,Carmelo Anthony,Blue,M,0
New York Knicks,Carmelo Anthony,Blue,S,1
New York Knicks,Carmelo Anthony,Blue,XL,0
New York Knicks,Carmelo Anthony,Blue,XXL,0
New York Knicks,Kristaps Porzingis,Blue Nike,L,0
New York Knicks,Kristaps Porzingis,Blue Nike,M,1
New York Knicks,Kristaps Porzingis,Blue Nike,S,0
New York Knicks,Kristaps Porzingis,Blue Nike,XL,0
New York Knicks,Kristaps Porzingis,Blue Nike,XXL,0
Oklahoma City Thunder,Carmelo Anthony,Blue Nike,L,2
Oklahoma City Thunder,Carmelo Anthony,Blue Nike,M,3
Oklahoma City Thunder,Carmelo Anthony,Blue Nike,S,2
Oklahoma City Thunder,Carmelo Anthony,Blue Nike,XL,0
Oklahoma City Thunder,Carmelo Anthony,Blue Nike,XXL,0
Oklahoma City Thunder,Carmelo Anthony,White Nike,L,0
Oklahoma City Thunder,Carmelo Anthony,White Nike,M,2
Oklahoma City Thunder,Carmelo Anthony,White Nike,S,1
Oklahoma City Thunder,Carmelo Anthony,White Nike,XL,0
Oklahoma City Thunder,Carmelo Anthony,White Nike,XXL,0
Oklahoma City Thunder,Carmelo Anthony,Black Nike,L,1
Oklahoma City Thunder,Carmelo Anthony,Black Nike,M,0
Oklahoma City Thunder,Carmelo Anthony,Black Nike,S,0
Oklahoma City Thunder,Carmelo Anthony,Black Nike,XL,0
Oklahoma City Thunder,Carmelo Anthony,Black Nike,XXL,0
Oklahoma City Thunder,Paul George,Blue Nike,L,1
Oklahoma City Thunder,Paul George,Blue Nike,M,2
Oklahoma City Thunder,Paul George,Blue Nike,S,2
Oklahoma City Thunder,Paul George,Blue Nike,XL,0
Oklahoma City Thunder,Paul George,Blue Nike,XXL,0
Oklahoma City Thunder,Paul George,White Nike,L,0
Oklahoma City Thunder,Paul George,White Nike,M,1
Oklahoma City Thunder,Paul George,White Nike,S,1
Oklahoma City Thunder,Paul George,White Nike,XL,0
Oklahoma City Thunder,Paul George,White Nike,XXL,0
Oklahoma City Thunder,Paul George,Black Nike,L,0
Oklahoma City Thunder,Paul George,Black Nike,M,1
Oklahoma City Thunder,Paul George,Black Nike,S,0
Oklahoma City Thunder,Paul George,Black Nike,XL,0
Oklahoma City Thunder,Paul George,Black Nike,XXL,0
Oklahoma City Thunder,Russell Westbrook,Blue,L,0
Oklahoma City Thunder,Russell Westbrook,Blue,M,1
Oklahoma City Thunder,Russell Westbrook,Blue,S,0
Oklahoma City Thunder,Russell Westbrook,Blue,XL,0
Oklahoma City Thunder,Russell Westbrook,Blue,XXL,0
Oklahoma City Thunder,Russell Westbrook,Blue Nike,L,1
Oklahoma City Thunder,Russell Westbrook,Blue Nike,M,1
Oklahoma City Thunder,Russell Westbrook,Blue Nike,S,0
Oklahoma City Thunder,Russell Westbrook,Blue Nike,XL,0
Oklahoma City Thunder,Russell Westbrook,Blue Nike,XXL,0
Oklahoma City Thunder,Russell Westbrook,White Nike,L,1
Oklahoma City Thunder,Russell Westbrook,White Nike,M,2
Oklahoma City Thunder,Russell Westbrook,White Nike,S,1
Oklahoma City Thunder,Russell Westbrook,White Nike,XL,0
Oklahoma City Thunder,Russell Westbrook,White Nike,XXL,0
Oklahoma City Thunder,Russell Westbrook,Black Nike,L,0
Oklahoma City Thunder,Russell Westbrook,Black Nike,M,0
Oklahoma City Thunder,Russell Westbrook,Black Nike,S,1
