team,player,colorway,size,quantity
Phoenix Suns,Devin Booker,Orange,L,0
Phoenix Suns,Devin Booker,Orange,M,0
Phoenix Suns,Devin Booker,Orange,S,0
Phoenix Suns,Devin Booker,Orange,XL,1
Phoenix Suns,Devin Booker,Orange,XXL,0
Milwaukee Bucks,Jabari Parker,Black,L,1
Milwaukee Bucks,Jabari Parker,Black,M,0
Milwaukee Bucks,Jabari Parker,Black,S,0
Milwaukee Bucks,Jabari Parker,Black,XL,0
Milwaukee Bucks,Jabari Parker,Black,XXL,0
Milwaukee Bucks,Jabari Parker,Green,L,0
Milwaukee Bucks,Jabari Parker,Green,M,1
Milwaukee Bucks,Jabari Parker,Green,S,1
Milwaukee Bucks,Jabari Parker,Green,XL,0
Milwaukee Bucks,Jabari Parker,Green,XXL,0
Milwaukee Bucks,Giannis Antetokounmpo,White,L,0
Milwaukee Bucks,Giannis Antetokounmpo,White,M,1
Milwaukee Bucks,Giannis Antetokounmpo,White,S,0
Milwaukee Bucks,Giannis Antetokounmpo,White,XL,0
Milwaukee Bucks,Giannis Antetokounmpo,White,XXL,0
Milwaukee Bucks,Giannis Antetokounmpo,White Nike,L,0
Milwaukee Bucks,Giannis Antetokounmpo,White Nike,M,1
Milwaukee Bucks,Giannis Antetokounmpo,White Nike,S,0
Milwaukee Bucks,Giannis Antetokounmpo,White Nike,XL,0
Milwaukee Bucks,Giannis Antetokounmpo,White Nike,XXL,0
Milwaukee Bucks,Giannis Antetokounmpo,Black Nike,L,1
Milwaukee Bucks,Giannis Antetokounmpo,Black Nike,M,1
Milwaukee Bucks,Giannis Antetokounmpo,Black Nike,S,2
Milwaukee Bucks,Giannis Antetokounmpo,Black Nike,XL,0
Milwaukee Bucks,Giannis Antetokounmpo,Black Nike,XXL,0
Milwaukee Bucks,Giannis Antetokounmpo,Green Nike,L,0
Milwaukee Bucks,Giannis Antetokounmpo,Green Nike,M,1
Milwaukee Bucks,Giannis Antetokounmpo,Green Nike,S,0
Milwaukee Bucks,Giannis Antetokounmpo,Green Nike,XL,0
Milwaukee Bucks,Giannis Antetokounmpo,Green Nike,XXL,0
New Orleans Pelicans,DeMarcus Cousins,White,L,0
New Orleans Pelicans,DeMarcus Cousins,White,M,1
New Orleans Pelicans,DeMarcus Cousins,White,S,0
New Orleans Pelicans,DeMarcus Cousins,White,XL,0
New Orleans Pelicans,DeMarcus Cousins,White,XXL,0
New Orleans Pelicans,Anthony Davis,Blue,L,0
New Orleans Pelicans,Anthony Davis,Blue,M,1
New Orleans Pelicans,Anthony Davis,Blue,S,0
New Orleans Pelicans,Anthony Davis,Blue,XL,0
New Orleans Pelicans,Anthony Davis,Blue,XXL,0
Irish,LeBron James,Green,L,0
Irish,LeBron James,Green,M,1
Irish,LeBron James,Green,S,1
Irish,LeBron James,Green,XL,0
Irish,LeBron James,Green,XXL,0
Irish,LeBron James,Gold,L,0
Irish,LeBron James,Gold,M,1
Irish,LeBron James,Gold,S,0
Irish,LeBron James,Gold,XL,0
Irish,LeBron James,Gold,XXL,0
USA,DeMarcus Cousins,Blue,L,0
USA,DeMarcus Cousins,Blue,M,1
USA,DeMarcus Cousins,Blue,S,0
USA,DeMarcus Cousins,Blue,XL,0
USA,DeMarcus Cousins,Blue,XXL,0
All-Star 1617,Stephen Curry,West,L,0
All-Star 1617,Stephen Curry,West,M,1
All-Star 1617,Stephen Curry,West,S,0
All-Star 1617,Stephen Curry,West,XL,0
All-Star 1617,Stephen Curry,West,XXL,0
All-Star 1617,LeBron James,East,L,0
All-Star 1617,LeBron James,East,M,1
All-Star 1617,LeBron James,East,S,0
All-Star 1617,LeBron James,East,XL,0
All-Star 1617,LeBron James,East,XXL,0
All-Star 1617,Russell Westbrook,West,L,0
All-Star 1617,Russell Westbrook,West,M,1
All-Star 1617,Russell Westbrook,West,S,0
All-Star 1617,Russell Westbrook,West,XL,0
All-Star 1617,Russell Westbrook,West,XXL,0
Utah Jazz,Gordon Hayward,Blue,L,0
Utah Jazz,Gordon Hayward,Blue,M,1
Utah Jazz,Gordon Hayward,Blue,S,0
Utah Jazz,Gordon Hayward,Blue,XL,0
Utah Jazz,Gordon Hayward,Blue,XXL,0
Miami Heat,Ray Allen,Red,L,0
Miami Heat,Ray Allen,Red,M,1
Miami Heat,Ray Allen,Red,S,0
Miami Heat,Ray Allen,Red,XL,0
Miami Heat,Ray Allen,Red,XXL,0
Orlando Magic,Penny Hardaway,Retro,L,0
Orlando Magic,Penny Hardaway,Retro,M,1
Orlando Magic,Penny Hardaway,Retro,S,1
Orlando Magic,Penny Hardaway,Retro,XL,0
Orlando Magic,Penny Hardaway,Retro,XXL,0
Orlando Magic,Shaquille O'Neal,Retro,L,0
Orlando Magic,Shaquille O'Neal,Retro,M,0
Orlando Magic,Shaquille O'Neal,Retro,S,1
Orlando Magic,Shaquille O'Neal,Retro,XL,0
Orlando Magic,Shaquille O'Neal,Retro,XXL,0
All-Star 1112,Kobe Bryant,West,L,0
All-Star 1112,Kobe Bryant,West,M,0
All-Star 1112,Kobe Bryant,West,S,1
All-Star 1112,Kobe Bryant,West,XL,0
All-Star 1112,Kobe Bryant,West,XXL,0
All-Star 0203,Kobe Bryant,West,L,0
All-Star 0203,Kobe Bryant,West,M,0
All-Star 0203,Kobe Bryant,West,S,1
All-Star 0203,Kobe Bryant,West,XL,0
All-Star 0203,Kobe Bryant,West,XXL,0
Georgetown,Allen Iverson,Blue,L,0
Georgetown,Allen Iverson,Blue,M,1
Georgetown,Allen Iverson,Blue,S,1
Georgetown,Allen Iverson,Blue,XL,0
Georgetown,Allen Iverson,Blue,XXL,0
USA 2012,Kobe Bryant,Blue,L,0
USA 2012,Kobe Bryant,Blue,M,1
USA 2012,Kobe Bryant,Blue,S,0
USA 2012,Kobe Bryant,Blue,XL,0
USA 2012,Kobe Bryant,Blue,XXL,0
Duke,Kyrie Irving,White,L,0
Duke,Kyrie Irving,White,M,2
Duke,Kyrie Irving,White,S,0
Duke,Kyrie Irving,White,XL,0
Duke,Kyrie Irving,White,XXL,0
Denver Nuggets,Nikola Jokic,Blue Nike,L,0
Denver Nuggets,Nikola Jokic,Blue Nike,M,1
Denver Nuggets,Nikola Jokic,Blue Nike,S,0
Denver Nuggets,Nikola Jokic,Blue Nike,XL,0
Denver Nuggets,Nikola Jokic,Blue Nike,XXL,0
Syracuse,Carmelo Anthony,Black,L,0
Syracuse,Carmelo Anthony,Black,M,1
Syracuse,Carmelo Anthony,Black,S,0
Syracuse,Carmelo Anthony,Black,XL,0
Syracuse,Carmelo Anthony,Black,XXL,0
Syracuse,Carmelo Anthony,Orange,L,0
Syracuse,Carmelo Anthony,Orange,M,1
Syracuse,Carmelo Anthony,Orange,S,0
Syracuse,Carmelo Anthony,Orange,XL,0
Syracuse,Carmelo Anthony,Orange,XXL,0
Detroit Pistons,Reggie Jackson,White,L,0
Detroit Pistons,Reggie Jackson,White,M,0
Detroit Pistons,Reggie Jackson,White,S,1
Detroit Pistons,Reggie Jackson,White,XL,0
Detroit Pistons,Reggie Jackson,White,XXL,0
Charlotte Hornets,Kemba Walker,Purple,L,0
Charlotte Hornets,Kemba Walker,Purple,M,1
Charlotte Hornets,Kemba Walker,Purple,S,1
Charlotte Hornets,Kemba Walker,Purple,XL,0
Charlotte Hornets,Kemba Walker,Purple,XXL,0
Golden State Warriors,Stephen Curry,Blue,L,1
Golden State Warriors,Stephen Curry,Blue,M,1
Golden State Warriors,Stephen Curry,Blue,S,1
Golden State Warriors,Stephen Curry,Blue,XL,0
Golden State Warriors,Stephen Curry,Blue,XXL,0
Golden State Warriors,Stephen Curry,White,L,0
Golden State Warriors,Stephen Curry,White,M,3
Golden State Warriors,Stephen Curry,White,S,0
Golden State Warriors,Stephen Curry,White,XL,0
Golden State Warriors,Stephen Curry,White,XXL,0
Golden State Warriors,Stephen Curry,Yellow,L,0
Golden State Warriors,Stephen Curry,Yellow,M,1
Golden State Warriors,Stephen Curry,Yellow,S,0
Golden State Warriors,Stephen Curry,Yellow,XL,0
Golden State Warriors,Stephen Curry,Yellow,XXL,0
Golden State Warriors,Stephen Curry,Xmas Blue,L,0
Golden State Warriors,Stephen Curry,Xmas Blue,M,1
Golden State Warriors,Stephen Curry,Xmas Blue,S,0
Golden State Warriors,Stephen Curry,Xmas Blue,XL,0
Golden State Warriors,Stephen Curry,Xmas Blue,XXL,0
Golden State Warriors,Stephen Curry,CNY,L,2
Golden State Warriors,Stephen Curry,CNY,M,0
Golden State Warriors,Stephen Curry,CNY,S,0
Golden State Warriors,Stephen Curry,CNY,XL,0
Golden State Warriors,Stephen Curry,CNY,XXL,0
Golden State Warriors,Stephen Curry,White Nike,L,0
Golden State Warriors,Stephen Curry,White Nike,M,2
Golden State Warriors,Stephen Curry,White Nike,S,0
Golden State Warriors,Stephen Curry,White Nike,XL,0
Golden State Warriors,Stephen Curry,White Nike,XXL,0
Golden State Warriors,Stephen Curry,Blue Nike,L,1
Golden State Warriors,Stephen Curry,Blue Nike,M,2
Golden State Warriors,Stephen Curry,Blue Nike,S,1
Golden State Warriors,Stephen Curry,Blue Nike,XL,0
Golden State Warriors,Stephen Curry,Blue Nike,XXL,0
Golden State Warriors,Stephen Curry,Black Nike,L,2
Golden State Warriors,Stephen Curry,Black Nike,M,2
Golden State Warriors,Stephen Curry,Black Nike,S,1
Golden State Warriors,Stephen Curry,Black Nike,XL,0
Golden State Warriors,Stephen Curry,Black Nike,XXL,0
Golden State Warriors,Kevin Durant,Blue,L,1
Golden State Warriors,Kevin Durant,Blue,M,2
Golden State Warriors,Kevin Durant,Blue,S,1
Golden State Warriors,Kevin Durant,Blue,XL,0
Golden State Warriors,Kevin Durant,Blue,XXL,0
Golden State Warriors,Kevin Durant,White,L,0
Golden State Warriors,Kevin Durant,White,M,2
Golden State Warriors,Kevin Durant,White,S,1
Golden State Warriors,Kevin Durant,White,XL,0
Golden State Warriors,Kevin Durant,White,XXL,0
Golden State Warriors,Kevin Durant,Yellow,L,0
Golden State Warriors,Kevin Durant,Yellow,M,1
Golden State Warriors,Kevin Durant,Yellow,S,1
Golden State Warriors,Kevin Durant,Yellow,XL,0
Golden State Warriors,Kevin Durant,Yellow,XXL,0
Golden State Warriors,Kevin Durant,White Nike,L,1
Golden State Warriors,Kevin Durant,White Nike,M,1
Golden State Warriors,Kevin Durant,White Nike,S,1
Golden State Warriors,Kevin Durant,White Nike,XL,0
Golden State Warriors,Kevin Durant,White Nike,XXL,0
Golden State Warriors,Kevin Durant,Blue Nike,L,1
Golden State Warriors,Kevin Durant,Blue Nike,M,2
Golden State Warriors,Kevin Durant,Blue Nike,S,1
Golden State Warriors,Kevin Durant,Blue Nike,XL,0
Golden State Warriors,Kevin Durant,Blue Nike,XXL,0
Golden State Warriors,Kevin Durant,Black Nike,L,1
Golden State Warriors,Kevin Durant,Black Nike,M,1
Golden State Warriors,Kevin Durant,Black Nike,S,2
Golden State Warriors,Kevin Durant,Black Nike,XL,0
Golden State Warriors,Kevin Durant,Black Nike,XXL,0
Golden State Warriors,Draymond Green,Blue,L,0
Golden State Warriors,Draymond Green,Blue,M,1
Golden State Warriors,Draymond Green,Blue,S,1
Golden State Warriors,Draymond Green,Blue,XL,0
Golden State Warriors,Draymond Green,Blue,XXL,0
Golden State Warriors,Draymond Green,Yellow,L,0
Golden State Warriors,Draymond Green,Yellow,M,1
Golden State Warriors,Draymond Green,Yellow,S,1
Golden State Warriors,Draymond Green,Yellow,XL,0
Golden State Warriors,Draymond Green,Yellow,XXL,0
Golden State Warriors,Klay Thompson,Blue,L,0
Golden State Warriors,Klay Thompson,Blue,M,1
Golden State Warriors,Klay Thompson,Blue,S,1
Golden State Warriors,Klay Thompson,Blue,XL,0
Golden State Warriors,Klay Thompson,Blue,XXL,0
Golden State Warriors,Klay Thompson,White,L,0
Golden State Warriors,Klay Thompson,White,M,0
Golden State Warriors,Klay Thompson,White,S,1
Golden State Warriors,Klay Thompson,White,XL,0
Golden State Warriors,Klay Thompson,White,XXL,0
Golden State Warriors,Klay Thompson,Blue Nike,L,0
Golden State Warriors,Klay Thompson,Blue Nike,M,1
Golden State Warriors,Klay Thompson,Blue Nike,S,1
Golden State Warriors,Klay Thompson,Blue Nike,XL,0
Golden State Warriors,Klay Thompson,Blue Nike,XXL,0
Boston Celtics,Kyrie Irving,Green White Nike,L,1
Boston Celtics,Kyrie Irving,Green White Nike,M,4
Boston Celtics,Kyrie Irving,Green White Nike,S,2
Boston Celtics,Kyrie Irving,Green White Nike,XL,1
Boston Celtics,Kyrie Irving,Green White Nike,XXL,0
Boston Celtics,Kyrie Irving,White Nike,L,1
Boston Celtics,Kyrie Irving,White Nike,M,2
Boston Celtics,Kyrie Irving,White Nike,S,2
Boston Celtics,Kyrie Irving,White Nike,XL,0
Boston Celtics,Kyrie Irving,White Nike,XXL,0
Boston Celtics,Kyrie Irving,Green Black Nike,L,0
Boston Celtics,Kyrie Irving,Green Black Nike,M,0
Boston Celtics,Kyrie Irving,Green Black Nike,S,0
Boston Celtics,Kyrie Irving,Green Black Nike,XL,0
Boston Celtics,Kyrie Irving,Green Black Nike,XXL,0
Boston Celtics,Kyrie Irving,Black Nike,L,5
Boston Celtics,Kyrie Irving,Black Nike,M,1
Boston Celtics,Kyrie Irving,Black Nike,S,2
Boston Celtics,Kyrie Irving,Black Nike,XL,1
Boston Celtics,Kyrie Irving,Black Nike,XXL,0
Boston Celtics,Isaiah Thomas,Green,L,0
Boston Celtics,Isaiah Thomas,Green,M,1
Boston Celtics,Isaiah Thomas,Green,S,1
Boston Celtics,Isaiah Thomas,Green,XL,0
Boston Celtics,Isaiah Thomas,Green,XXL,0
Boston Celtics,Isaiah Thomas,Green Black,L,0
Boston Celtics,Isaiah Thomas,Green Black,M,1
Boston Celtics,Isaiah Thomas,Green Black,S,2
Boston Celtics,Isaiah Thomas,Green Black,XL,0
Boston Celtics,Isaiah Thomas,Green Black,XXL,0
Boston Celtics,Larry Bird,Green,L,0
Boston Celtics,Larry Bird,Green,M,1
Boston Celtics,Larry Bird,Green,S,0
Boston Celtics,Larry Bird,Green,XL,0
Boston Celtics,Larry Bird,Green,XXL,0
Boston Celtics,Gordon Hayward,Green White Nike,L,2
Boston Celtics,Gordon Hayward,Green White Nike,M,1
Boston Celtics,Gordon Hayward,Green White Nike,S,1
Boston Celtics,Gordon Hayward,Green White Nike,XL,0
Boston Celtics,Gordon Hayward,Green White Nike,XXL,0
Boston Celtics,Gordon Hayward,White Nike,L,0
Boston Celtics,Gordon Hayward,White Nike,M,1
Boston Celtics,Gordon Hayward,White Nike,S,1
Boston Celtics,Gordon Hayward,White Nike,XL,0
Boston Celtics,Gordon Hayward,White Nike,XXL,0
Boston Celtics,Ray Allen,Green White,L,0
Boston Celtics,Ray Allen,Green White,M,0
Boston Celtics,Ray Allen,Green White,S,1
Boston Celtics,Ray Allen,Green White,XL,0
Boston Celtics,Ray Allen,Green White,XXL,0
Boston Celtics,Jayson Tatum,Green White,L,0
Boston Celtics,Jayson Tatum,Green White,M,1
Boston Celtics,Jayson Tatum,Green White,S,0
Boston Celtics,Jayson Tatum,Green White,XL,0
Boston Celtics,Jayson Tatum,Green White,XXL,0
Boston Celtics,Jayson Tatum,Green White Nike,L,0
Boston Celtics,Jayson Tatum,Green White Nike,M,0
Boston Celtics,Jayson Tatum,Green White Nike,S,2
Boston Celtics,Jayson Tatum,Green White Nike,XL,0
Boston Celtics,Jayson Tatum,Green White Nike,XXL,0
Boston Celtics,Jayson Tatum,White Nike,L,0
Boston Celtics,Jayson Tatum,White Nike,M,1
Boston Celtics,Jayson Tatum,White Nike,S,0
Boston Celtics,Jayson Tatum,White Nike,XL,0
Boston Celtics,Jayson Tatum,White Nike,XXL,0
Boston Celtics,Jayson Tatum,Green Black Nike,L,0
Boston Celtics,Jayson Tatum,Green Black Nike,M,1
Boston Celtics,Jayson Tatum,Green Black Nike,S,0
Boston Celtics,Jayson Tatum,Green Black Nike,XL,0
Boston Celtics,Jayson Tatum,Green Black Nike,XXL,0
Boston Celtics,Jaylen Brown,Green White Nike,L,1
Boston Celtics,Jaylen Brown,Green White Nike,M,2
Boston Celtics,Jaylen Brown,Green White Nike,S,2
Boston Celtics,Jaylen Brown,Green White Nike,XL,0
Boston Celtics,Jaylen Brown,Green White Nike,XXL,0
Boston Celtics,Jaylen Brown,White Nike,L,1
Boston Celtics,Jaylen Brown,White Nike,M,1
Boston Celtics,Jaylen Brown,White Nike,S,1
Boston Celtics,Jaylen Brown,White Nike,XL,0
Boston Celtics,Jaylen Brown,White Nike,XXL,0
